Player,Position,Team,Age,Year of Birth,Matches Played,Starts,Minutes Played,90 Minutes Played,Goals,Assists,Non-Penalty Goals,Penalties Converted,Penalties Taken,Yellow Cards,Red Cards,Goals per 90 Minutes,Assists per 90 Minutes,Goals and Assists per 90 Minutes,Goals excluding Penalties per 90 Minutes,Goals and Assists excluding Penalties per 90 Minutes,Expected xG,Expected Non-Penalty xG,Expected xAG,Expected Non-Penalty xG and xAG,xG,xAG,xG and xAG,Non-Penalty xG,Non-Penalty xG and xAG
Josh Sargent,FW,USA,22,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.21,0.04,0.25,0.21,0.25
Jeremy Sarmiento,"MF,FW",Ecuador,19,2002,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.07,0.09,0.15,0.07,0.15
Ismaila Sarr,"FW,MF",Senegal,24,1998,4,4,344,3.8,1,0,0,1,1,0,0,0.26,0,0.26,0,0,1.7,0.9,0.4,1.3,0.43,0.11,0.55,0.23,0.34
Ferjani Sassi,"MF,DF",Tunisia,30,1992,2,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Fabian Schär,DF,Switzerland,30,1991,2,2,135,1.5,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09
Nico Schlotterbeck,DF,Germany,22,1999,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Kasper Schmeichel,GK,Denmark,35,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haris Seferovi?,FW,Switzerland,30,1992,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.24,0.03,0.27,0.24,0.27
Alidu Seidu,DF,Ghana,22,2000,2,2,155,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Antoine Semenyo,"FW,MF",Ghana,22,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0.22,0.22
Kim Seung-gyu,GK,Korea Republic,31,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paik Seung-ho,MF,Korea Republic,25,1997,1,0,26,0.3,1,0,1,0,0,0,0,3.46,0,3.46,3.46,3.46,0,0,0,0,0.15,0,0.15,0.15,0.15
Yasser Al-Shahrani,DF,Saudi Arabia,30,1992,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,"FW,MF",Switzerland,30,1991,3,3,229,2.5,1,1,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,0.3,0.3,0.9,1.2,0.12,0.35,0.47,0.12,0.47
Riyadh Sharahili,MF,Saudi Arabia,29,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
Luke Shaw,DF,England,26,1995,5,5,424,4.7,0,1,0,0,0,0,0,0,0.21,0.21,0,0.21,0.1,0.1,0.8,0.9,0.02,0.17,0.19,0.02,0.19
Saad Al Sheeb,GK,Qatar,32,1990,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saleh Al-Shehri,FW,Saudi Arabia,28,1993,3,3,223,2.5,1,0,1,0,0,1,0,0.4,0,0.4,0.4,0.4,0.1,0.1,0.1,0.2,0.03,0.05,0.09,0.03,0.09
André Silva,FW,Portugal,26,1995,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21
António Silva,DF,Portugal,18,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo Silva,MF,Portugal,27,1994,5,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14
Thiago Silva,DF,Brazil,37,1984,4,4,390,4.3,0,1,0,0,0,0,0,0,0.23,0.23,0,0.23,0.2,0.2,0.9,1.1,0.04,0.23,0.27,0.04,0.27
Unai Simón,GK,Spain,25,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavi Simons,"FW,MF",Netherlands,19,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellyes Skhiri,MF,Tunisia,27,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07
Micha? Skóra?,MF,Poland,22,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Andreas Skov Olsen,"FW,MF",Denmark,22,1999,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.16,0,0.16,0.16,0.16
Robert Skov,DF,Denmark,26,1996,1,0,22,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naïm Sliti,"MF,FW",Tunisia,29,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.11,0.1,0.21,0.11,0.21
Carlos Soler,MF,Spain,25,1997,2,0,92,1,1,0,1,0,0,0,0,0.98,0,0.98,0.98,0.98,0.5,0.5,0.2,0.7,0.78,0.26,1.04,0.78,1.04
Yuki Soma,"FW,MF",Japan,25,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21
Yann Sommer,GK,Switzerland,33,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borna Sosa,DF,Croatia,24,1998,5,5,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.01,0.08,0.09,0.01,0.09
Harry Souttar,DF,Australia,23,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03
Djibril Sow,MF,Switzerland,25,1997,4,4,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.2,0.2,0.2,0.3,0.06,0.06,0.12,0.06,0.12
Josip Staniši?,DF,Croatia,22,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Renato Steffen,FW,Switzerland,30,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,FW,England,27,1994,3,2,149,1.7,1,1,1,0,0,0,0,0.6,0.6,1.21,0.6,1.21,0.4,0.4,0.1,0.5,0.22,0.09,0.31,0.22,0.31
John Stones,DF,England,28,1994,5,5,434,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.07,0.01,0.09,0.07,0.09
Luis Suárez,FW,Uruguay,35,1987,3,2,146,1.6,0,1,0,0,0,1,0,0,0.62,0.62,0,0.62,0.4,0.4,0.1,0.5,0.26,0.04,0.29,0.26,0.29
Niklas Süle,DF,Germany,26,1995,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Kamaldeen Sulemana,FW,Ghana,20,2002,2,0,58,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09
Josip Šutalo,DF,Croatia,22,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karol ?widerski,FW,Poland,25,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wojciech Szcz?sny,GK,Poland,32,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Szyma?ski,MF,Poland,26,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Szyma?ski,MF,Poland,23,1999,2,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dušan Tadi?,"MF,FW",Serbia,33,1988,3,3,257,2.9,0,2,0,0,0,0,0,0,0.7,0.7,0,0.7,0.1,0.1,0.7,0.8,0.03,0.25,0.28,0.03,0.28
Nicolás Tagliafico,DF,Argentina,29,1992,6,3,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.26,0.05,0.31,0.26,0.31
Montassar Talbi,DF,Tunisia,24,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Al Tambakti,DF,Saudi Arabia,23,1999,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ao Tanaka,MF,Japan,23,1998,3,2,171,1.9,1,0,1,0,0,0,0,0.53,0,0.53,0.53,0.53,1,1,0.1,1,0.55,0.05,0.6,0.55,0.6
Shogo Taniguchi,DF,Japan,30,1991,2,2,210,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.12,0,0.12,0.12,0.12
Mehdi Taremi,FW,Iran,29,1992,3,3,270,3,2,1,1,1,1,0,0,0.67,0.33,1,0.33,0.67,1.3,0.6,0.7,1.2,0.45,0.22,0.67,0.18,0.4
Kenneth Taylor,MF,Netherlands,20,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurélien Tchouaméni,MF,France,22,2000,7,7,621,6.9,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,0.3,0.3,1,1.4,0.05,0.16,0.21,0.05,0.21
Yeltsin Tejeda,MF,Costa Rica,30,1992,3,3,269,3,1,1,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,0.4,0.4,0.1,0.5,0.14,0.02,0.17,0.14,0.17
Alex Telles,DF,Brazil,29,1992,2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorba Thomas,MF,Wales,22,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Thuram,"FW,MF",France,24,1997,5,0,151,1.7,0,2,0,0,0,1,0,0,1.19,1.19,0,1.19,0.2,0.2,0.2,0.4,0.16,0.16,0.32,0.16,0.32
Youri Tielemans,MF,Belgium,25,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Jurriën Timber,DF,Netherlands,20,2001,4,4,390,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Toko Ekambi,"FW,MF",Cameroon,29,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.1,0.14,0.24,0.1,0.24
Nouhou Tolo,DF,Cameroon,24,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,"DF,MF",Japan,23,1998,3,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.11,0.11,0,0.11
Mehdi Torabi,MF,Iran,27,1994,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.18,0.82,1,0.18,1
Félix Torres Caicedo,DF,Ecuador,25,1997,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0.4,0.6,0.04,0.15,0.19,0.04,0.19
Ferrán Torres,FW,Spain,22,2000,4,3,217,2.4,2,0,1,1,1,0,0,0.83,0,0.83,0.41,0.41,1,0.2,0.2,0.4,0.42,0.07,0.5,0.1,0.17
Gerson Torres,MF,Costa Rica,24,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Pau Torres,DF,Spain,25,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,DF,England,31,1990,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.02,0.07,0.09,0.02,0.09
Leandro Trossard,"FW,MF",Belgium,27,1994,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08
Matt Turner,GK,USA,27,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayase Ueda,FW,Japan,23,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Hwang Ui-jo,"FW,MF",Korea Republic,29,1992,4,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4
Dayot Upamecano,DF,France,23,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Enner Valencia,"FW,MF",Ecuador,32,1989,3,3,255,2.8,3,0,2,1,1,0,0,1.06,0,1.06,0.71,0.71,2.3,1.5,0.3,1.8,0.8,0.1,0.9,0.52,0.62
Federico Valverde,MF,Uruguay,23,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.14,0.2,0.06,0.2
Virgil van Dijk,DF,Netherlands,30,1991,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07
Raphaël Varane,DF,France,29,1993,6,6,518,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.06,0,0.06,0.06,0.06
Guillermo Varela,DF,Uruguay,29,1993,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05
Ruben Vargas,FW,Switzerland,23,1998,4,4,285,3.2,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0.3,0.3,0.6,0.9,0.11,0.19,0.3,0.11,0.3
Matías Vecino,MF,Uruguay,30,1991,3,2,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Alexis Vega,FW,Mexico,24,1997,3,3,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.39,0.06,0.44,0.39,0.44
Miloš Veljkovi?,DF,Serbia,26,1995,3,3,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Venegas,"FW,MF",Costa Rica,33,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Veretout,MF,France,29,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,35,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Matías Viña,DF,Uruguay,24,1997,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitinha,MF,Portugal,22,2000,3,1,120,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.03,0.08,0.05,0.08
Steven Vitória,DF,Canada,35,1987,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dušan Vlahovi?,FW,Serbia,22,2000,2,1,79,0.9,1,0,1,0,0,0,0,1.14,0,1.14,1.14,1.14,0.8,0.8,0,0.8,0.92,0,0.92,0.92,0.92
Nikola Vlaši?,"FW,MF",Croatia,24,1997,6,1,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.25,0,0.25,0.25,0.25
Mohammed Waad,"MF,DF",Qatar,22,1999,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker,DF,England,32,1990,3,3,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ward,GK,Wales,28,1993,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Waston,DF,Costa Rica,34,1988,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Timothy Weah,FW,USA,22,2000,4,4,316,3.5,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.6,0.6,0.4,1.1,0.18,0.12,0.31,0.18,0.31
Wout Weghorst,FW,Netherlands,29,1992,4,0,64,0.7,2,0,2,0,0,1,0,2.81,0,2.81,2.81,2.81,0.2,0.2,0,0.2,0.52,0.08,0.6,0.52,0.6
Wéverton,GK,Brazil,34,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvan Widmer,DF,Switzerland,29,1993,3,3,265,2.9,0,1,0,0,0,1,0,0,0.34,0.34,0,0.34,0,0,0.8,0.9,0.01,0.29,0.3,0.01,0.3
Iñaki Williams,FW,Ghana,27,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17
Neco Williams,DF,Wales,21,2001,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
Nico Williams,FW,Spain,19,2002,4,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Callum Wilson,FW,England,30,1992,2,0,48,0.5,0,1,0,0,0,0,0,0,1.87,1.87,0,1.87,0,0,0.9,0.9,0,1.7,1.7,0,1.7
Harry Wilson,"MF,FW",Wales,25,1997,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.05,0.28,0.33,0.05,0.33
Roan Wilson,MF,Costa Rica,20,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel Witsel,MF,Belgium,33,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02
Jeong Woo-yeong,MF,Korea Republic,22,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06
Jung Woo-young,MF,Korea Republic,32,1989,4,4,303,3.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05
Christopher Wooh,DF,Cameroon,20,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
David Wotherspoon,MF,Canada,32,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Wright,DF,Australia,29,1992,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haji Wright,FW,USA,24,1998,4,1,137,1.5,1,0,1,0,0,0,0,0.66,0,0.66,0.66,0.66,0.5,0.5,0,0.6,0.35,0.02,0.37,0.35,0.37
Granit Xhaka,MF,Switzerland,29,1992,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.08,0.02,0.1,0.08,0.1
Miki Yamane,"DF,MF",Japan,28,1993,1,1,61,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.11,0.11,0,0.11
Jawad El Yamiq,DF,Morocco,30,1992,6,3,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Taha Yassine Khenissi,FW,Tunisia,30,1992,2,0,29,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0.45,0.51,0.06,0.51
DeAndre Yedlin,DF,USA,28,1993,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maya Yoshida,DF,Japan,33,1988,4,4,390,4.3,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,0,0,0.4,0.4,0,0.09,0.09,0,0.09
Kim Young-gwon,DF,Korea Republic,32,1990,4,4,350,3.9,1,0,1,0,0,1,0,0.26,0,0.26,0.26,0.26,0.8,0.8,0.2,0.9,0.19,0.05,0.24,0.19,0.24
Cho Yumin,FW,Korea Republic,25,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Zakaria,MF,Switzerland,25,1996,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Nicola Zalewski,MF,Poland,20,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,26,1995,3,3,260,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Álvaro Zamora,MF,Costa Rica,20,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anass Zaroury,FW,Morocco,21,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Zieli?ski,"MF,FW",Poland,28,1994,4,4,328,3.6,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.6,0.6,0.4,1,0.16,0.11,0.26,0.16,0.26
Walker Zimmerman,DF,USA,29,1993,4,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Andrija Živkovi?,DF,Serbia,25,1996,3,3,210,2.3,0,2,0,0,0,0,0,0,0.86,0.86,0,0.86,0.1,0.1,1.1,1.2,0.03,0.48,0.5,0.03,0.5
Hakim Ziyech,FW,Morocco,29,1993,7,7,635,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.7,1.1,0.06,0.1,0.16,0.06,0.16
Filip ?uri?i?,"MF,FW",Serbia,30,1992,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0.23
